lr,batch,n_window,epoch,dsName,currepoch,L1
0.1,128,10,5,smtp,0,0.0144797953452376
0.1,128,10,5,smtp,1,0.18241098735405353
0.1,128,10,5,smtp,2,0.1647941997540366
0.1,128,10,5,smtp,3,0.20213044327883298
0.1,128,10,5,smtp,4,0.2213959879601617
0.1,128,10,10,smtp,0,0.006327913441600406
0.1,128,10,10,smtp,1,0.3659481347240836
0.1,128,10,10,smtp,2,0.4066383484719876
0.1,128,10,10,smtp,3,0.3955612528540187
0.1,128,10,10,smtp,4,0.19198767409717038
0.1,128,10,10,smtp,5,0.1941223919903084
0.1,128,10,10,smtp,6,0.14730877957387717
0.1,128,10,10,smtp,7,0.12847608941730704
0.1,128,10,10,smtp,8,0.1283450997340704
0.1,128,10,10,smtp,9,0.12814024368175483
0.1,128,10,15,smtp,0,0.00849878496292406
0.1,128,10,15,smtp,1,0.3107037080703962
0.1,128,10,15,smtp,2,0.3448135983500642
0.1,128,10,15,smtp,3,0.3536076438949016
0.1,128,10,15,smtp,4,0.3542496506115158
0.1,128,10,15,smtp,5,0.35875195359883544
0.1,128,10,15,smtp,6,0.36179914731083684
0.1,128,10,15,smtp,7,0.36554979703304863
0.1,128,10,15,smtp,8,0.3671858695034634
0.1,128,10,15,smtp,9,0.36674284924454975
0.1,128,10,15,smtp,10,0.3686488799809951
0.1,128,10,15,smtp,11,0.37021216063136686
0.1,128,10,15,smtp,12,0.3703282238485964
0.01,128,5,5,smtp,0,0.0045882908399065645
0.01,128,5,5,smtp,1,0.0023802239197668142
0.01,128,5,5,smtp,2,0.001618020413284518
0.01,128,5,5,smtp,3,0.0015577807573764696
0.01,128,5,5,smtp,4,0.0015108993150776328
0.01,128,10,5,smtp,0,0.005234644442167371
0.01,128,10,5,smtp,1,0.001886671120567593
0.01,128,10,5,smtp,2,0.0009575576097307514
0.01,128,10,5,smtp,3,0.00047321738970060323
0.01,128,10,5,smtp,4,0.00033911468133187786
0.001,128,5,5,smtp,0,0.012141252627539368
0.001,128,5,5,smtp,1,0.0061389746382301815
0.001,128,5,5,smtp,2,0.0026064640067928503
0.001,128,5,5,smtp,3,0.0019212106567588544
0.001,128,5,5,smtp,4,0.001687295036403276
0.001,128,10,5,smtp,0,0.01757212554444192
0.001,128,10,5,smtp,1,0.005921783283382277
0.001,128,10,5,smtp,2,0.002313165827870162
0.001,128,10,5,smtp,3,0.001860948004054243
0.001,128,10,5,smtp,4,0.0016301277987979695
0.0001,128,5,5,smtp,0,0.03328929905382575
0.0001,128,5,5,smtp,1,0.029970537439695223
0.0001,128,5,5,smtp,2,0.010548472449890963
0.0001,128,5,5,smtp,3,0.008214592727582891
0.0001,128,5,5,smtp,4,0.007520692530491955
0.0001,128,10,5,smtp,0,0.05156081617002251
0.0001,128,10,5,smtp,1,0.024302577075271628
0.0001,128,10,5,smtp,2,0.012481284466215313
0.0001,128,10,5,smtp,3,0.010587737298863191
0.0001,128,10,5,smtp,4,0.009430132430990565
