dsName,TranAD,USAD,GDN,OmniAnomaly,RCoder
ecg,0.17686538426273998,0.2123120457193586,0.2198746408984069,0.5059397884458909,0.6814098134070491
smtp,0.2727272727272727,0.3,0.0022172949002217295,0.23076923076923078,0.0021406727828746177
credit,0.018726591760299626,0.054945054945054944,0.053763440860215055,0.0018900138413653067,0.4166666666666667
ecg,0.17686538426273998,0.2123120457193586,0.2198746408984069,0.5059397884458909,0.7413730475844533
smtp,0.2727272727272727,0.3,0.0022172949002217295,0.23076923076923078,0.0006259780907668231
dlr,0.10334788937409024,0.04234388366124893,0.1026438569206843,Error,0.16938775510204082
ecg,0.17686538426273998,0.2123120457193586,0.2198746408984069,0.5059397884458909,0.7609765329295988
smtp,0.2727272727272727,0.3,0.0022172949002217295,0.23076923076923078,0.00213089802130898
dlr,0.10334788937409024,0.04234388366124893,0.1026438569206843,Error,0.3333333333333333
ecg,0.2166334903141234,0.28012965327570966,0.1534309486177795,0.5548319874967439,Error
smtp,0.00033711889762120476,0.00033982541469320136,0.00033628988187817897,0.00033640301080694674,Error
dlr,0.03631647211413749,0.03631647211413749,0.03631647211413749,0.03631647211413749,Error
ecg,Error
smtp,Error
dlr,Error
