size,TranAD,RCoder,USAD,GDN,OmniAnomaly
2000,0.8746336669866082,1.0,0.7793894830659537,0.9767288267288267,0.9979166666666668
10000,0.9827407213300823,1.0,0.9695601931539543,0.9917187797665885,0.6133307644417093
20000,0.9883381941195527,1.0,0.9852754425668856,0.9422050113658091,0.8696787148594378
40000,0.9778031674835391,1.0,0.9680543023253371,0.969915475518825,1.0
100000,0.9827477596805181,1.0,0.98877670673459,0.9818164250855809,1.0
200000,0.9968412041767329,1.0,0.9922935658957996,0.991880682682251,1.0
2000,0.862903491423803,1.0,0.8359033554697561,0.873088491111994,1.0
4000,0.9671231130630282,1.0,0.9586257393064981,0.9799444128677809,1.0
10000,0.9626951474733362,1.0,0.9727555995711781,0.9209464207565311,1.0
20000,0.9831218140823573,1.0,0.9914644867835476,0.9566634422303018,1.0
40000,0.9736967129619035,1.0,0.9817434139706636,0.9738391416517388,1.0
100000,0.9794915107958122,1.0,0.9916174331075542,0.9903039073945974,1.0
200000,0.9927668347380735,1.0,0.993930303262246,0.9951452065996447,1.0
