lr,batch,n_window,epoch,lm,dsName,precision,recall,fmeasure
0.1,128,10,5,"(0.97, 1)",ecg,0.20576042367547154,0.9723076923076923,0.3396449492144815
0.1,128,10,5,"(0.98, 1.3)",ecg,0.49834034078335915,0.23097435897435897,0.31564930969234006
0.1,128,10,5,"(0.96, 0.97)",ecg,0.1910916683237224,0.9856410256410256,0.3201199200532978
0.1,128,10,5,"(0.95, 0.99)",ecg,0.21571998349608032,0.9652307692307692,0.3526303956834533
0.1,128,10,5,"(0.94, 0.98)",ecg,0.1870257746886765,0.9935384615384616,0.31479405313185477
0.1,128,10,5,"(0.93, 1.03)",ecg,0.18841512156128756,0.9911794871794872,0.3166396356547239
0.1,128,10,5,"(0.92, 1.02)",ecg,0.20785790937561596,0.9734358974358974,0.3425673602714263
0.1,128,10,5,"(0.91, 1.01)",ecg,0.18087287093287616,0.9954871794871795,0.30612502365482874
0.1,128,10,5,"(0.97, 1)",ecg,Error,Error,Error
0.1,128,10,5,"(0.98, 1.3)",ecg,0.3007465698143664,0.3057435897435897,0.3032244939477164
0.1,128,10,5,"(0.99, 1.3)",ecg,0.6272050176401411,0.1641025641025641,0.2601414519144785
0.1,128,10,5,"(1.0, 1.3)",ecg,0.17377820553951448,1.0,0.296100583090379
0.1,128,10,5,"(0.98, 1.4)",ecg,0.5013071895424837,0.07866666666666666,0.13599290780141843
0.1,128,10,5,"(0.98, 1.5)",ecg,0.5266645629536131,0.17117948717948717,0.25837913151172687
0.1,128,10,5,"(0.98, 1.2)",ecg,0.2844665800490833,0.4042051282051282,0.33392645314353503
0.1,128,10,5,"(0.98, 1.3)",ecg,Error,Error,Error
