lr,n_latent,n_window,epoch,dsName,precision,recall,fmeasure
0.01,5,5,5,smtp,Error,Error,Error
0.01,5,5,5,smtp,0.00010221756477664712,1.0,0.00020441423482800444
0.01,5,10,5,smtp,0.00010221756477664712,1.0,0.00020441423482800444
0.001,5,5,5,smtp,0.0010085728693898135,0.22222222222222224,0.002008032128514056
0.001,5,10,5,smtp,0.00028935185185185184,0.3888888888888889,0.0005782734407269722
0.0001,5,5,5,smtp,0.0001713432811384475,1.0,0.00034262785529595914
0.0001,5,10,5,smtp,0.00012804529308904123,0.7777777777777778,0.0002560484330109612
0.1,5,5,5,smtp,0.00015852569591866638,1.0,0.000317001139011164
0.1,5,10,5,smtp,0.00015852569591866638,1.0,0.000317001139011164
0.15,5,5,5,smtp,9.551391099482919e-05,1.0,0.000191009577917834
0.15,5,10,5,smtp,9.551391099482919e-05,1.0,0.000191009577917834
0.2,5,5,5,smtp,0.00015696371360482717,0.9,0.00031387268651801543
0.2,5,10,5,smtp,0.00015696371360482717,0.9,0.00031387268651801543
